strike,open_interest.yt,open_interest.td,OI_Dollar.yt,OI_Dollar.td,Date.td,expiry.td,diff_oi,diff_oi_d,pct
320,883,127,8.83,3.81,2023-07-21,2023-08-11,-756,-5.02,-1.31758530183727
320,883,32006,8.83,1920.36,2023-07-21,2023-08-18,31123,1911.53,0.995401903809702
320,883,42,8.83,3.78,2023-07-21,2023-08-25,-841,-5.05,-1.33597883597884
320,318,908,3.18,9.08,2023-07-21,2023-07-28,590,5.9,0.649779735682819
320,318,318,3.18,3.18,2023-07-21,2023-08-04,0,0,0
320,318,127,3.18,3.81,2023-07-21,2023-08-11,-191,0.63,0.165354330708661
320,318,32006,3.18,1920.36,2023-07-21,2023-08-18,31688,1917.18,0.998344060488658
320,318,42,3.18,3.78,2023-07-21,2023-08-25,-276,0.6,0.158730158730159
320,127,908,6.35,9.08,2023-07-21,2023-07-28,781,2.73,0.300660792951542
320,127,318,6.35,3.18,2023-07-21,2023-08-04,191,-3.17,-0.99685534591195
320,127,127,6.35,3.81,2023-07-21,2023-08-11,0,-2.54,-0.666666666666667
320,127,32006,6.35,1920.36,2023-07-21,2023-08-18,31879,1914.01,0.996693328334271
320,127,42,6.35,3.78,2023-07-21,2023-08-25,-85,-2.57,-0.67989417989418
320,32109,908,1605.45,9.08,2023-07-21,2023-07-28,-31201,-1596.37,-175.811674008811
320,32109,318,1605.45,3.18,2023-07-21,2023-08-04,-31791,-1602.27,-503.858490566038
320,32109,127,1605.45,3.81,2023-07-21,2023-08-11,-31982,-1601.64,-420.377952755906
320,32109,32006,1605.45,1920.36,2023-07-21,2023-08-18,-103,314.91,0.163984877835406
320,32109,42,1605.45,3.78,2023-07-21,2023-08-25,-32067,-1601.67,-423.722222222222
320,26,908,2.08,9.08,2023-07-21,2023-07-28,882,7,0.770925110132159
320,26,318,2.08,3.18,2023-07-21,2023-08-04,292,1.1,0.345911949685535
320,26,127,2.08,3.81,2023-07-21,2023-08-11,101,1.73,0.454068241469816
320,26,32006,2.08,1920.36,2023-07-21,2023-08-18,31980,1918.28,0.998916869753588
320,26,42,2.08,3.78,2023-07-21,2023-08-25,16,1.7,0.44973544973545
325,515,515,5.15,5.15,2023-07-21,2023-07-28,0,0,0
325,515,718,5.15,14.36,2023-07-21,2023-08-04,203,9.21,0.641364902506964
325,515,142,5.15,5.68,2023-07-21,2023-08-11,-373,0.529999999999999,0.0933098591549295
325,515,14764,5.15,885.84,2023-07-21,2023-08-18,14249,880.69,0.994186309040007
325,515,376,5.15,37.6,2023-07-21,2023-08-25,-139,32.45,0.863031914893617
325,615,515,12.3,5.15,2023-07-21,2023-07-28,-100,-7.15,-1.38834951456311
325,615,718,12.3,14.36,2023-07-21,2023-08-04,103,2.06,0.143454038997214
325,615,142,12.3,5.68,2023-07-21,2023-08-11,-473,-6.62,-1.16549295774648
325,615,14764,12.3,885.84,2023-07-21,2023-08-18,14149,873.54,0.986114874017881
325,615,376,12.3,37.6,2023-07-21,2023-08-25,-239,25.3,0.672872340425532
325,142,515,5.68,5.15,2023-07-21,2023-07-28,373,-0.529999999999999,-0.102912621359223
325,142,718,5.68,14.36,2023-07-21,2023-08-04,576,8.68,0.604456824512535
325,142,142,5.68,5.68,2023-07-21,2023-08-11,0,0,0
325,142,14764,5.68,885.84,2023-07-21,2023-08-18,14622,880.16,0.993588006863542
325,142,376,5.68,37.6,2023-07-21,2023-08-25,234,31.92,0.848936170212766
325,14766,515,738.3,5.15,2023-07-21,2023-07-28,-14251,-733.15,-142.359223300971
325,14766,718,738.3,14.36,2023-07-21,2023-08-04,-14048,-723.94,-50.4136490250697
325,14766,142,738.3,5.68,2023-07-21,2023-08-11,-14624,-732.62,-128.982394366197
325,14766,14764,738.3,885.84,2023-07-21,2023-08-18,-2,147.54,0.16655377946356
325,14766,376,738.3,37.6,2023-07-21,2023-08-25,-14390,-700.7,-18.6356382978723
325,369,515,25.83,5.15,2023-07-21,2023-07-28,146,-20.68,-4.01553398058252
325,369,718,25.83,14.36,2023-07-21,2023-08-04,349,-11.47,-0.79874651810585
325,369,142,25.83,5.68,2023-07-21,2023-08-11,-227,-20.15,-3.54753521126761
325,369,14764,25.83,885.84,2023-07-21,2023-08-18,14395,860.01,0.970841235437551
325,369,376,25.83,37.6,2023-07-21,2023-08-25,7,11.77,0.313031914893617
330,289,285,2.89,2.85,2023-07-21,2023-07-28,-4,-0.04,-0.0140350877192983
330,289,58,2.89,1.16,2023-07-21,2023-08-04,-231,-1.73,-1.49137931034483
330,289,523,2.89,20.92,2023-07-21,2023-08-11,234,18.03,0.861854684512428
330,289,33628,2.89,2353.96,2023-07-21,2023-08-18,33339,2351.07,0.998772281602066
330,289,492,2.89,49.2,2023-07-21,2023-08-25,203,46.31,0.941260162601626
330,58,285,1.16,2.85,2023-07-21,2023-07-28,227,1.69,0.592982456140351
330,58,58,1.16,1.16,2023-07-21,2023-08-04,0,0,0
330,58,523,1.16,20.92,2023-07-21,2023-08-11,465,19.76,0.944550669216061
330,58,33628,1.16,2353.96,2023-07-21,2023-08-18,33570,2352.8,0.999507213376608
330,58,492,1.16,49.2,2023-07-21,2023-08-25,434,48.04,0.976422764227642
330,523,285,20.92,2.85,2023-07-21,2023-07-28,-238,-18.07,-6.34035087719298
330,523,58,20.92,1.16,2023-07-21,2023-08-04,-465,-19.76,-17.0344827586207
330,523,523,20.92,20.92,2023-07-21,2023-08-11,0,0,0
330,523,33628,20.92,2353.96,2023-07-21,2023-08-18,33105,2333.04,0.991112848136757
330,523,492,20.92,49.2,2023-07-21,2023-08-25,-31,28.28,0.57479674796748
330,33578,285,1678.9,2.85,2023-07-21,2023-07-28,-33293,-1676.05,-588.087719298246
330,33578,58,1678.9,1.16,2023-07-21,2023-08-04,-33520,-1677.74,-1446.3275862069
330,33578,523,1678.9,20.92,2023-07-21,2023-08-11,-33055,-1657.98,-79.2533460803059
330,33578,33628,1678.9,2353.96,2023-07-21,2023-08-18,50,675.06,0.286776325850907
330,33578,492,1678.9,49.2,2023-07-21,2023-08-25,-33086,-1629.7,-33.1239837398374
330,491,285,39.28,2.85,2023-07-21,2023-07-28,-206,-36.43,-12.7824561403509
330,491,58,39.28,1.16,2023-07-21,2023-08-04,-433,-38.12,-32.8620689655173
330,491,523,39.28,20.92,2023-07-21,2023-08-11,32,-18.36,-0.877629063097514
330,491,33628,39.28,2353.96,2023-07-21,2023-08-18,33137,2314.68,0.983313225373413
330,491,492,39.28,49.2,2023-07-21,2023-08-25,1,9.92,0.201626016260163
335,528,529,5.28,5.29,2023-07-21,2023-07-28,1,0.00999999999999979,0.00189035916824193
335,528,157,5.28,4.71,2023-07-21,2023-08-04,-371,-0.57,-0.121019108280255
335,528,144,5.28,5.76,2023-07-21,2023-08-11,-384,0.48,0.0833333333333333
335,528,28380,5.28,2270.4,2023-07-21,2023-08-18,27852,2265.12,0.997674418604651
335,528,554,5.28,55.4,2023-07-21,2023-08-25,26,50.12,0.904693140794224
335,152,529,4.56,5.29,2023-07-21,2023-07-28,377,0.73,0.137996219281664
335,152,157,4.56,4.71,2023-07-21,2023-08-04,5,0.15,0.0318471337579619
335,152,144,4.56,5.76,2023-07-21,2023-08-11,-8,1.2,0.208333333333333
335,152,28380,4.56,2270.4,2023-07-21,2023-08-18,28228,2265.84,0.997991543340381
335,152,554,4.56,55.4,2023-07-21,2023-08-25,402,50.84,0.91768953068592
335,141,529,5.64,5.29,2023-07-21,2023-07-28,388,-0.35,-0.0661625708884688
335,141,157,5.64,4.71,2023-07-21,2023-08-04,16,-0.93,-0.197452229299363
335,141,144,5.64,5.76,2023-07-21,2023-08-11,3,0.12,0.0208333333333334
335,141,28380,5.64,2270.4,2023-07-21,2023-08-18,28239,2264.76,0.997515856236786
335,141,554,5.64,55.4,2023-07-21,2023-08-25,413,49.76,0.898194945848375
335,28283,529,1696.98,5.29,2023-07-21,2023-07-28,-27754,-1691.69,-319.790170132325
335,28283,157,1696.98,4.71,2023-07-21,2023-08-04,-28126,-1692.27,-359.292993630573
335,28283,144,1696.98,5.76,2023-07-21,2023-08-11,-28139,-1691.22,-293.614583333333
335,28283,28380,1696.98,2270.4,2023-07-21,2023-08-18,97,573.42,0.252563424947146
335,28283,554,1696.98,55.4,2023-07-21,2023-08-25,-27729,-1641.58,-29.6314079422383
335,554,529,55.4,5.29,2023-07-21,2023-07-28,-25,-50.11,-9.47258979206049
335,554,157,55.4,4.71,2023-07-21,2023-08-04,-397,-50.69,-10.7622080679406
335,554,144,55.4,5.76,2023-07-21,2023-08-11,-410,-49.64,-8.61805555555556
335,554,28380,55.4,2270.4,2023-07-21,2023-08-18,27826,2215,0.975599013389711
335,554,554,55.4,55.4,2023-07-21,2023-08-25,0,0,0
340,1113,1113,11.13,11.13,2023-07-21,2023-07-28,0,0,0
340,1113,45,11.13,1.35,2023-07-21,2023-08-04,-1068,-9.78,-7.24444444444445
340,1113,1239,11.13,61.95,2023-07-21,2023-08-11,126,50.82,0.820338983050847
340,1113,20842,11.13,1875.78,2023-07-21,2023-08-18,19729,1864.65,0.994066468349167
340,1113,1367,11.13,150.37,2023-07-21,2023-08-25,254,139.24,0.925982576311764
340,45,1113,1.8,11.13,2023-07-21,2023-07-28,1068,9.33,0.838274932614555
340,45,45,1.8,1.35,2023-07-21,2023-08-04,0,-0.45,-0.333333333333334
340,45,1239,1.8,61.95,2023-07-21,2023-08-11,1194,60.15,0.970944309927361
340,45,20842,1.8,1875.78,2023-07-21,2023-08-18,20797,1873.98,0.999040399193935
340,45,1367,1.8,150.37,2023-07-21,2023-08-25,1322,148.57,0.988029527166323
340,1239,1113,61.95,11.13,2023-07-21,2023-07-28,-126,-50.82,-4.56603773584906
340,1239,45,61.95,1.35,2023-07-21,2023-08-04,-1194,-60.6,-44.8888888888889
340,1239,1239,61.95,61.95,2023-07-21,2023-08-11,0,0,0
340,1239,20842,61.95,1875.78,2023-07-21,2023-08-18,19603,1813.83,0.966973738924607
340,1239,1367,61.95,150.37,2023-07-21,2023-08-25,128,88.42,0.588016226640952
340,20845,1113,1459.15,11.13,2023-07-21,2023-07-28,-19732,-1448.02,-130.100628930818
340,20845,45,1459.15,1.35,2023-07-21,2023-08-04,-20800,-1457.8,-1079.85185185185
340,20845,1239,1459.15,61.95,2023-07-21,2023-08-11,-19606,-1397.2,-22.5536723163842
340,20845,20842,1459.15,1875.78,2023-07-21,2023-08-18,-3,416.63,0.222110268794848
